entrada;tipo;numero_nf;documento;macro_item_informakon;grupo_fip_wave;valor_descontado;valor_a_descontar;valor_total_nf;medicoes
156445/001;NF-e;529462;NF-e 529462;ELÉTRICA SUBESTAÇÃO;1;15472.40;0.00;15472.40;med3=14737.93;med4=734.47
158024/001;NFS-e;705;NFS-e 705;ELÉTRICA SUBESTAÇÃO;1;12500.00;0.00;12500.00;med4=12500.00
157045/001;NF-e;206;NF-e 206;ELÉTRICA SUBESTAÇÃO;1;9007.04;0.00;9007.04;med3=9007.04
154859/001;NF-e;198;NF-e 198;ELÉTRICA SUBESTAÇÃO;1;5261.84;0.00;5261.84;med1=5261.84
156870/001;NF-e;105888;NF-e 105888;GERAÇÃO;2;21582.39;0.00;21582.39;med3=4901.97;med4=16680.42
154859/002;NF-e;198;NF-e 198;GERAÇÃO;2;19367.62;0.00;19367.62;med1=19367.62
156652/001;NF-e;51945;NF-e 51945;GERAÇÃO;2;2270.26;0.00;2270.26;med3=2270.26
156703/001;NF-e;531790;NF-e 531790;GERAÇÃO;2;1930.48;0.00;1930.48;med3=1930.48
157045/002;NF-e;206;NF-e 206;GERAÇÃO;2;1572.89;0.00;1572.89;med3=1572.89
156445/002;NF-e;529462;NF-e 529462;GERAÇÃO;2;1501.96;0.00;1501.96;med3=1501.96
157009/001;NF-e;53146;NF-e 53146;GERAÇÃO;2;450.00;0.00;450.00;med3=450.00
155889/001;NF-e;104790;NF-e 104790;ALIMENTAÇÃO ELÉTRICA;3;0.00;101351.02;101351.02;
155645/001;NF-e;115581;NF-e 115581;ALIMENTAÇÃO ELÉTRICA;3;35609.16;0.00;35609.16;med4=35609.16
157431/001;NF-e;105242;NF-e 105242;ALIMENTAÇÃO ELÉTRICA;3;0.00;31196.17;31196.17;
158237/001;NF-e;56964;NF-e 56964;ALIMENTAÇÃO ELÉTRICA;3;28625.30;0.00;28625.30;med4=28625.30
154950/001;NF-e;4128;NF-e 4128;ALIMENTAÇÃO ELÉTRICA;3;21223.28;0.00;21223.28;med3=21223.28
155199/001;NF-e;103972;NF-e 103972;ALIMENTAÇÃO ELÉTRICA;3;12608.81;0.00;12608.81;med3=12608.81
